Role,Company,Location,Date_Posted,Apply_Link
Data Analyst,Scoutit,"Chennai, Tamil Nadu, India",6 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4322832396?position=6&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=l2kVtH6tSeXLuVvwCPIxIQ%3D%3D
BI/Data Analytics Team Lead,Shell,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/bi-data-analytics-team-lead-at-shell-4323005203?position=7&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=To6BFia4KYxbp1NvhGDORg%3D%3D
Data Annotator,Innodata Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/data-annotator-at-innodata-inc-4340224362?position=8&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=b0yNRXGVsVcuwv%2Bt4%2FZzXw%3D%3D
Lead - Data Science (INAI),Blue Altair,"Pune, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/lead-data-science-inai-at-blue-altair-4336310211?position=9&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=tA%2BVcUreDrbq89117NSZuw%3D%3D
Finance Data Analyst 1,RSM US LLP,"Bengaluru, Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/finance-data-analyst-1-at-rsm-us-llp-4302177467?position=10&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=vd5KCjiP4%2Fn9%2BjMXiNEy%2BQ%3D%3D
Data Management Associate,JPMorganChase,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/data-management-associate-at-jpmorganchase-4332357867?position=1&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=kE2fevayhWtG1Y6axCIADA%3D%3D
Data Annotator,Innodata Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/data-annotator-at-innodata-inc-4340681226?position=2&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=jZmbB2%2Fr5cVECtLGGtfAMQ%3D%3D
Data Annotator,Innodata Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/data-annotator-at-innodata-inc-4340871012?position=3&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=nj%2FTb9BFsdKsoCNre7lSnQ%3D%3D
Associate Healthcare Research & Data Analyst,Clarivate,"Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/associate-healthcare-research-data-analyst-at-clarivate-4332943977?position=4&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=Jq9Lz946ED4sMckiDDDQtQ%3D%3D
Product Analyst,ShareChat,"Bangalore Urban, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/product-analyst-at-sharechat-4336552294?position=5&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=owGeODGEuqeogp%2FaxnkFyg%3D%3D
SAS Analyst,Cube Hub Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/sas-analyst-at-cube-hub-inc-4322490104?position=6&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=5xR%2BKeQtGeIDNHfA48isyQ%3D%3D
Data Engineer,Persistent Systems,"Pune, Maharashtra, India",3 days ago,https://in.linkedin.com/jobs/view/data-engineer-at-persistent-systems-4341167994?position=7&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=8f4%2BFJZ%2FZYq8tx3pMEzA6Q%3D%3D
HR Data Analyst,bp,"Pune, Maharashtra, India",1 day ago,https://in.linkedin.com/jobs/view/hr-data-analyst-at-bp-4347031816?position=8&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=VutGJYu3eBpT5IUrYNN67g%3D%3D
BI Analyst,NuageCX Consulting Pvt Ltd,"Haveli, Maharashtra, India",3 days ago,https://in.linkedin.com/jobs/view/bi-analyst-at-nuagecx-consulting-pvt-ltd-4323363641?position=9&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=TBuK9e0SPsMnpCKBl94RDQ%3D%3D
Executives,EXL,"Bengaluru, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/executives-at-exl-4334625618?position=10&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=g84rNKJI8XT7gAZBVLKb4w%3D%3D
Data Analyst - Alteryx/SQL (Remote),QAAgility Technologies,"Bengaluru, Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/data-analyst-alteryx-sql-remote-at-qaagility-technologies-4323561975?position=1&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=yhTaujo2N00ZK7Ce5jeN1Q%3D%3D
"Data Analyst II, Data AI Analytics",McCain Foods,"Gurgaon, Haryana, India",1 day ago,https://in.linkedin.com/jobs/view/data-analyst-ii-data-ai-analytics-at-mccain-foods-4337116496?position=2&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=Psag%2Bv3LF7H135kIgPdW0w%3D%3D
Associate Researcher,Sambodhi Research and Communications Pvt. Ltd.,India,3 days ago,https://in.linkedin.com/jobs/view/associate-researcher-at-sambodhi-research-and-communications-pvt-ltd-4323033669?position=3&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=vOW5oafVJ2sZ8Ki0LPobgw%3D%3D
Analyst-Business Analytics-Analytics,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/analyst-business-analytics-analytics-at-exl-4332053279?position=4&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=go%2BO27Q8pp7hovBiDt44yA%3D%3D
Data Analyst,upGrad Rekrut,"Pune, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-at-upgrad-rekrut-4322039121?position=5&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=esabCH024gjf7Hf%2BtSuquw%3D%3D
Data Engineer,Albert Invent,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/data-engineer-at-albert-invent-4341328373?position=6&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=H3Yzri8X%2Bl35ti6bmRyfJg%3D%3D
Data Science,Microsoft,"Bengaluru, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/data-science-at-microsoft-4341682879?position=7&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=FhfJOMOf0pvhty6Fx8cfOg%3D%3D
Senior Data Analyst,Moniepoint Group,"Bengaluru East, Karnataka, India",Recent,https://in.linkedin.com/jobs/view/senior-data-analyst-at-moniepoint-group-4323721067?position=8&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=185yHnBZhiDCGfMIE4om8w%3D%3D
Online Data Analyst,TELUS Digital,"Muzaffarnagar, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336220282?position=9&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=I6AzSpCdg6BGzThqP6p6tg%3D%3D
Consultant- Analytics,MetLife,"Noida, Uttar Pradesh, India",1 day ago,https://in.linkedin.com/jobs/view/consultant-analytics-at-metlife-4323483311?position=10&pageNum=22&refId=npEM7QfB%2FCBsvjQbFpM%2BiA%3D%3D&trackingId=%2BKTnVNQtB6D6YHzN5u%2B%2BhQ%3D%3D
Online Data Analyst,TELUS Digital,"Ballia, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336090577?position=1&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=mfZQ7%2FQfhISouKYW%2F7%2BFkA%3D%3D
"Data Operations, Aladdin Data, Analyst",BlackRock,"Mumbai, Maharashtra, India",Recent,https://in.linkedin.com/jobs/view/data-operations-aladdin-data-analyst-at-blackrock-4338338390?position=2&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=n%2FhUOrQpNnDY8h8pT%2B%2F7zw%3D%3D
Sr. IT Data Analyst,Persistent Systems,"Pune, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/sr-it-data-analyst-at-persistent-systems-4340560384?position=3&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=hNo3Q11FhWSNN9UlguqtZg%3D%3D
Senior Data Analyst,Recro,"Bengaluru, Karnataka, India",1 week ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-recro-4322711330?position=4&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=RFi9YT61zxOS0%2BiRrLY7PQ%3D%3D
Data Analyst - Quality Assurance,Glean,"Bengaluru, Karnataka, India",Recent,https://in.linkedin.com/jobs/view/data-analyst-quality-assurance-at-glean-4302716040?position=5&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=GLrfLeuvk9KtfaKCH1PXqg%3D%3D
4700096-Lead Assistant Manager,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/4700096-lead-assistant-manager-at-exl-4304116047?position=6&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=sMKYsZBbCVqr4OjR%2BU%2B%2F8A%3D%3D
Data Analyst (Advanced Excel) in Mumbai,Concave Insights,Mumbai Metropolitan Region,3 days ago,https://in.linkedin.com/jobs/view/data-analyst-advanced-excel-in-mumbai-at-concave-insights-4336884501?position=7&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=4eC8Wv4Y7BsQ%2B%2FK3eeyVRg%3D%3D
Data Analyst,Auditics Private Limited,"Pune, Maharashtra, India",Recent,https://in.linkedin.com/jobs/view/data-analyst-at-auditics-private-limited-4323557535?position=8&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=qBpctsmRn4WN9sowHtFnYw%3D%3D
Developer (IC)-Data Management and Analytics-Data Ops/Data Analyst,EXL,"Noida, Uttar Pradesh, India",4 days ago,https://in.linkedin.com/jobs/view/developer-ic-data-management-and-analytics-data-ops-data-analyst-at-exl-4319917978?position=9&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=pdMHdXUQ25UUTnC96X0CDA%3D%3D
Healthcare Research & Data Analyst,Clarivate,"Noida, Uttar Pradesh, India",6 days ago,https://in.linkedin.com/jobs/view/healthcare-research-data-analyst-at-clarivate-4310537704?position=10&pageNum=25&refId=yExMIrH2ehU33B%2FG1RG%2BZg%3D%3D&trackingId=WukthbqGIzD%2BYILbiPgh5w%3D%3D
Analyst,eClerx,"Mumbai, Maharashtra, India",1 day ago,https://in.linkedin.com/jobs/view/analyst-at-eclerx-4302051283?position=1&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=dCu%2FET2nLfACLpbEwJQ5vQ%3D%3D
Online Data Analyst,TELUS Digital,"Agra, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336190228?position=2&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=ITJgxB0K7DbSkawFj1l8uA%3D%3D
"Associate Data Analyst (New Graduate, Thai Speaking) (Marketing Analytics, Bangkok Based)",Agoda,"Pune, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299758972?position=3&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=joIdItyHsgQ8xONKFYrHKQ%3D%3D
4605085-Lead Assistant Manager,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/4605085-lead-assistant-manager-at-exl-4304158270?position=4&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=kV%2FO2xv0ae%2B4A8XQXQKhJQ%3D%3D
Analyst - ESG,Swiggy,"Bengaluru, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/analyst-esg-at-swiggy-4322747488?position=5&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=KlWoelTU1vnmlVGAZ7C2Sw%3D%3D
Data Analyst,"Mettler-Toledo International, Inc","Mumbai, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-at-mettler-toledo-international-inc-4322235394?position=6&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=ISKDd%2FJj3elYXvvqSOjv2g%3D%3D
"Business Intelligence Analyst, FinOps IN BP",Amazon,"Bengaluru, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/business-intelligence-analyst-finops-in-bp-at-amazon-4337251628?position=7&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=KjSlpQg9f7ZvO41UC39JJA%3D%3D
"Data Engineer(Python, Databricks, SQL, AWS)",Gainwell Technologies,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/data-engineer-python-databricks-sql-aws-at-gainwell-technologies-4341147962?position=8&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=yDxiUMCn3yId9lNRyDZOeA%3D%3D
Payments Advisory - Data Analyst,JPMorganChase,"Mumbai, Maharashtra, India",3 days ago,https://in.linkedin.com/jobs/view/payments-advisory-data-analyst-at-jpmorganchase-4336862404?position=9&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=ObyuoNAhLOWvrZnloooK8Q%3D%3D
Online Data Analyst,TELUS Digital,"Deoria, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336120513?position=10&pageNum=27&refId=HQHxqv79doNEgpW42cJpfQ%3D%3D&trackingId=c6lbyoPvY2GMjvRAwayQwQ%3D%3D
3869814-Lead Assistant Manager,EXL,"Noida, Uttar Pradesh, India",4 days ago,https://in.linkedin.com/jobs/view/3869814-lead-assistant-manager-at-exl-4313642448?position=1&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=NNsI1RfB95k24eHIAzDVbA%3D%3D
Data Scientist,LTIMindtree,"Mumbai, Maharashtra, India",3 days ago,https://in.linkedin.com/jobs/view/data-scientist-at-ltimindtree-4341177583?position=2&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=UHejjBSXyq6m%2F8Bg33STkA%3D%3D
BI & Data Analyst,HSBC,"Pune, Maharashtra, India",Recent,https://in.linkedin.com/jobs/view/bi-data-analyst-at-hsbc-4338386056?position=3&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=xE7RgUYIv7hw%2FbZLJjaxjg%3D%3D
Data Analyst,Protofine.AI,"Hyderabad, Telangana, India",Recent,https://in.linkedin.com/jobs/view/data-analyst-at-protofine-ai-4324090619?position=4&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=EzqQcvfNh0TlCaKYLcVrIw%3D%3D
Data and Business Intelligence Analyst,Opportunity International EduFinance,India,1 day ago,https://in.linkedin.com/jobs/view/data-and-business-intelligence-analyst-at-opportunity-international-edufinance-4337165506?position=5&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=7MM9JQN7D0h2liJmirBeSg%3D%3D
Senior Analyst,HCLTech,"Gurugram, Haryana, India",Recent,https://in.linkedin.com/jobs/view/senior-analyst-at-hcltech-4338373737?position=6&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=lJg9jOEYFjIb559SS1iDHA%3D%3D
Lead Assistant Manager,EXL,"Pune, Maharashtra, India",4 days ago,https://in.linkedin.com/jobs/view/lead-assistant-manager-at-exl-4333705036?position=7&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=sQLU5AftAh7J4OeKncJckg%3D%3D
Online Data Analyst,TELUS Digital,"Fatehpur, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336240174?position=8&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=o1WfGva75ojjFT6nYQ4wQg%3D%3D
"Data Analyst in Gurgaon, Delhi",DecisionTree Analytics & Services,"Gurgaon, Haryana, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-in-gurgaon-delhi-at-decisiontree-analytics-services-4335936090?position=9&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=MbYAy%2B%2BBmapbUGqTh5SdgA%3D%3D
"Data Analyst in Gurgaon, Delhi",DecisionTree Analytics & Services,"Delhi, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-in-gurgaon-delhi-at-decisiontree-analytics-services-4335876151?position=10&pageNum=30&refId=%2FifBFmHhdBgwsge13dJi5w%3D%3D&trackingId=k7nM0f8JhJVY0u08Vto7Ew%3D%3D
Senior Analyst / Analyst,Clearstate,"Gurugram, Haryana, India",1 week ago,https://in.linkedin.com/jobs/view/senior-analyst-analyst-at-clearstate-4322036528?position=1&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=WlGZLT6t%2FuCZOBQToSqwPA%3D%3D
Customer Data Analyst,Basware,"Chandigarh, India",4 days ago,https://in.linkedin.com/jobs/view/customer-data-analyst-at-basware-4309708602?position=2&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=LDioeS%2BaGByaTKWJ%2FlLYmA%3D%3D
"Analyst, Brand Insights",Azurity Pharmaceuticals,"Hyderabad, Telangana, India",1 week ago,https://in.linkedin.com/jobs/view/analyst-brand-insights-at-azurity-pharmaceuticals-4298915712?position=3&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=0EfmPRDXI%2BS2OcBLM5MXiQ%3D%3D
FHIR Data Analyst,Infosys,"Bengaluru East, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/fhir-data-analyst-at-infosys-4332352631?position=4&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=I5xkHD%2F%2BdwStwPbeX6YFug%3D%3D
Online Data Analyst,TELUS Digital,"Fatehpur, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336260138?position=5&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=4jWQd3Z8iLlbSOG3b%2BNsbg%3D%3D
Online Data Analyst,TELUS Digital,"Firozabad, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336230204?position=6&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=V9St3TAvQ2DwY3FHwaXBfA%3D%3D
Associate Manager,HCLTech,"Noida, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/associate-manager-at-hcltech-4335978115?position=7&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=dRkzaMJH8okUMe%2BCu5IzOg%3D%3D
Data Analyst,Youtag Infotech Private Limited,"Maharashtra, India",2 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-youtag-infotech-private-limited-4323254415?position=8&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=9AgWNaJ0uFVHV6mBGNjAIw%3D%3D
Executive CEG,American Express,"Gurugram, Haryana, India",3 days ago,https://in.linkedin.com/jobs/view/executive-ceg-at-american-express-4336811338?position=9&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=ezje8oVxE%2FEc9cG8JptEgQ%3D%3D
1970743-Assistant Manager,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/1970743-assistant-manager-at-exl-4304159196?position=10&pageNum=32&refId=VtnpvfyZYv3pknQLFX00dw%3D%3D&trackingId=WnwlRGC%2F4Q8pqPDz%2Fau5Cw%3D%3D
"Associate Data Analyst (New Graduate, Thai Speaking) (Marketing Analytics, Bangkok Based)",Agoda,"Hyderabad, Telangana, India",1 week ago,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299765663?position=1&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=EKVn1BLPTTMWEeFAFcHCTQ%3D%3D
Online Data Analyst,TELUS Digital,"Salem, Tamil Nadu, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336150588?position=2&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=RyyPaiO8UeuPW57yzGvaJw%3D%3D
Data Scientist,Danone,India,2 days ago,https://in.linkedin.com/jobs/view/data-scientist-at-danone-4336867984?position=3&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=dDn0cAi9uC1uMEmOtBX54Q%3D%3D
Data Analyst,Youtag Infotech Private Limited,"Aurangabad, Maharashtra, India",2 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-youtag-infotech-private-limited-4323314211?position=4&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=s5p1BH4ebFo%2Bx9Yn%2F392BA%3D%3D
4594082-Senior Executive,EXL,"Noida, Uttar Pradesh, India",4 days ago,https://in.linkedin.com/jobs/view/4594082-senior-executive-at-exl-4313640464?position=5&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=7NEsdIYuyqph4dMNhwrsVw%3D%3D
Online Data Analyst,TELUS Digital,"Raebareli, Uttar Pradesh, India",1 week ago,https://in.linkedin.com/jobs/view/online-data-analyst-at-telus-digital-4336160424?position=6&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=GQJKdI17dTSJSMIrRtqTUA%3D%3D
Data Annotator,VerbiQ,India,1 day ago,https://in.linkedin.com/jobs/view/data-annotator-at-verbiq-4337109169?position=7&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=vDXm6EwhIb6oxYABlMAUAw%3D%3D
2070747-Lead Assistant Manager,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/2070747-lead-assistant-manager-at-exl-4304159206?position=8&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=KZDrvla2fFKVN1Cjzk%2B3UA%3D%3D
689796-Lead Assistant Manager,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/689796-lead-assistant-manager-at-exl-4304113052?position=9&pageNum=35&refId=KmVktSCG%2BB4XPT3WTLifgA%3D%3D&trackingId=94Kl2r2yIIMMQBMW5cRaAQ%3D%3D
